transaction	amount	category	date 	time
100068	-15.33	10	2018/02/23	14:31:57
100069	243.05	3	2018/06/18	10:31:54
100070	256.49	8	2018/12/12	09:01:21
100071	240.52	4	2019/02/06	11:23:31
100072	-153.27	4	2019/02/03	16:53:46
100073	305.22	7	2018/09/30	01:59:04
100074	-152.00	1	2018/07/02	13:22:42
100075	380.32	5	2018/01/16	13:52:27
100076	-264.01	8	2018/10/04	19:01:34
100077	-284.22	6	2018/02/20	00:25:20
100078	-159.25	9	2018/07/22	04:33:30
100079	-277.93	5	2018/07/01	07:57:57
100080	-168.57	5	2019/01/03	18:53:40
100081	59.32	9	2018/05/22	06:52:03
100082	-268.61	1	2018/09/12	18:34:38
100083	-47.10	7	2018/04/17	07:44:07
100084	101.54	3	2018/03/08	22:33:07
100085	119.41	8	2018/01/03	20:54:11
100086	-253.18	2	2018/07/22	00:54:04
100087	344.93	9	2018/02/21	15:08:04
100088	188.33	8	2018/12/28	09:11:59
100089	259.08	5	2018/12/10	06:17:42
100090	90.05	4	2018/04/19	18:00:58
100091	-95.52	9	2018/09/15	04:55:49
100092	-29.43	1	2018/01/14	02:13:12
100093	298.26	4	2018/01/12	18:00:19
100094	-218.83	10	2018/08/03	00:04:11
100095	-246.66	9	2018/01/21	13:58:09
100096	-21.05	1	2018/10/08	09:00:54
100097	306.36	2	2018/02/16	23:51:35
100098	348.81	7	2019/03/04	21:19:50
100099	-233.55	3	2018/08/17	03:52:54
100100	337.15	5	2018/12/17	11:42:52
100101	280.82	3	2019/02/14	17:17:29
100102	-16.14	1	2018/08/25	13:06:10
100103	190.31	4	2018/04/21	10:16:24
100104	-228.22	2	2018/06/28	06:20:11
100105	-39.75	7	2018/06/28	01:21:32
100106	-109.29	9	2018/05/21	15:21:41
100107	395.99	9	2018/03/10	03:31:25
100108	-240.72	9	2018/01/24	09:57:17
100109	-255.71	2	2018/01/16	05:44:20
100110	288.10	10	2018/08/20	06:29:16
100111	128.13	4	2018/08/31	14:23:09
100112	-79.94	5	2018/12/08	16:14:50
100113	376.33	9	2019/02/05	22:42:55
100114	-235.38	3	2018/01/28	21:41:51
100115	96.96	1	2018/06/24	16:39:58
100116	188.92	9	2018/12/21	03:35:04
100117	114.74	6	2018/11/20	22:16:08
100118	209.34	4	2018/08/13	00:03:26
100119	-264.05	5	2019/03/05	04:59:40
100120	-199.95	3	2018/04/26	03:24:07
100121	389.32	1	2018/09/27	11:03:43
100122	177.14	1	2018/09/20	19:14:27
100123	223.46	1	2018/12/11	23:18:27
100124	138.32	3	2018/02/25	08:16:32
100125	246.85	8	2019/01/29	16:09:35
100126	375.66	6	2018/09/24	17:10:13
100127	-183.31	10	2018/08/31	02:09:44
100128	-195.76	1	2018/06/26	00:49:06
100129	-105.88	9	2018/05/01	17:24:44
100130	383.19	5	2018/12/03	02:37:52
100131	-66.86	2	2019/01/11	07:27:26
100132	74.81	7	2018/03/06	06:19:02
100133	167.20	9	2018/12/14	21:43:31
100134	-203.29	3	2018/04/27	07:51:45
100135	138.86	2	2019/02/20	09:34:38
100136	137.46	1	2018/11/17	04:29:39
100137	-78.01	10	2018/08/25	18:55:20
100138	-140.71	2	2018/10/19	05:57:39
100139	395.19	2	2018/01/08	11:14:38
100140	246.72	2	2019/02/01	05:48:17
100141	-217.40	8	2018/11/26	12:22:42
100142	287.95	3	2019/01/12	07:05:49
100143	-140.67	2	2018/07/27	02:48:34
100144	-92.51	7	2018/03/09	08:05:50
100145	-172.14	9	2018/02/12	20:50:08
100146	344.46	3	2018/06/17	11:22:18
100147	35.07	8	2018/05/03	11:02:27
100148	11.42	4	2018/06/21	14:09:06
100149	-263.81	4	2018/10/24	10:42:40
100150	-32.53	9	2018/07/19	06:18:53
100151	-201.04	8	2018/03/31	05:22:24
100152	265.53	7	2018/12/13	03:05:37
100153	-287.00	1	2018/06/03	08:37:46
100154	53.80	7	2018/08/12	17:47:05
100155	386.51	4	2018/03/12	11:04:27
100156	30.26	5	2018/08/11	04:56:08
100157	248.55	9	2018/12/12	04:30:16
100158	-271.57	3	2018/12/07	15:58:53
100159	363.89	3	2018/01/11	03:39:51
100160	274.64	2	2018/02/03	21:19:41
100161	331.87	1	2018/10/25	12:50:13
100162	-99.66	10	2018/12/26	00:47:26
100163	247.66	5	2018/07/24	22:47:18
100164	-225.30	10	2018/08/12	10:44:58
100165	199.62	9	2018/11/05	02:46:05
100166	135.70	10	2019/03/06	15:34:56
100167	-104.19	5	2018/06/04	07:18:25
100168	19.02	4	2018/07/07	07:43:09
100169	218.28	2	2018/08/04	09:32:17
100170	182.01	4	2018/07/23	07:19:19
100171	171.83	10	2018/05/12	13:01:47
100172	278.87	5	2018/09/12	18:28:25
100173	72.04	5	2018/10/18	15:04:58
100174	362.12	4	2018/10/26	04:35:08
100175	-181.89	9	2018/05/26	02:39:08
100176	-249.09	6	2018/10/20	21:59:02
100177	131.97	8	2018/01/03	05:13:44
100178	172.85	10	2018/10/12	02:41:35
100179	17.38	1	2018/08/29	19:18:19
100180	116.53	5	2018/07/18	17:45:02
100181	242.00	1	2018/06/08	22:36:02
100182	-110.78	6	2018/07/02	22:48:09
100183	14.27	9	2018/09/28	11:01:26
100184	204.77	1	2019/03/08	02:07:02
100185	-147.46	6	2018/11/12	08:28:11
100186	113.14	6	2018/07/26	22:34:36
100187	86.00	4	2019/01/21	17:20:52
100188	-92.39	8	2018/07/14	19:57:15
100189	-186.98	2	2018/12/27	02:43:20
100190	126.10	4	2018/07/07	19:31:31
100191	388.27	5	2019/02/12	10:23:09
100192	176.91	7	2018/06/13	04:16:06
100193	234.64	5	2018/10/12	07:17:08
100194	-17.86	10	2018/09/22	23:05:04
100195	99.51	2	2018/04/16	18:28:17
100196	253.82	6	2018/09/21	10:46:08
100197	76.05	7	2019/01/26	02:51:25
100198	218.52	1	2018/06/05	11:03:36
100199	-208.38	10	2018/11/14	08:59:32
100200	-261.11	5	2018/09/05	16:00:34
100201	218.60	4	2018/01/19	05:47:59
100202	329.13	10	2018/04/10	13:35:21
100203	-295.42	4	2018/04/30	13:41:24
100204	364.24	2	2018/04/11	17:34:53
100205	-79.79	1	2018/06/06	07:58:49
100206	-222.21	3	2018/02/21	22:49:24
100207	-196.27	2	2018/05/10	10:47:26
100208	-88.25	10	2018/02/27	00:29:41
100209	87.60	3	2018/10/15	23:59:50
100210	184.18	7	2018/11/23	01:00:58
100211	-6.59	6	2018/11/30	21:44:38
100212	206.64	3	2018/06/14	12:29:16
100213	44.31	9	2018/03/04	10:56:37
100214	-275.79	9	2018/11/28	22:58:25
100215	-44.72	7	2019/02/13	06:14:15
100216	-128.04	6	2018/06/24	01:14:55
100217	345.63	1	2018/12/03	01:33:14
100218	-55.00	4	2018/12/12	22:01:46
100219	161.90	6	2018/09/25	10:07:44
100220	143.18	8	2018/07/28	23:04:19
100221	185.00	7	2018/12/08	20:44:50
100222	9.24	6	2018/03/13	18:04:04
100223	-215.96	6	2019/03/01	09:23:40
100224	-74.02	2	2019/02/19	12:53:26
100225	300.79	4	2018/11/16	07:16:04
100226	-95.93	2	2018/05/23	12:07:00
100227	83.11	4	2018/03/15	07:42:54
100228	-88.69	7	2018/09/04	05:27:10
100229	-163.72	4	2019/01/03	21:33:41
100230	311.99	8	2018/11/04	05:20:56
100231	68.38	10	2018/05/30	04:18:36
100232	-266.99	5	2018/09/03	03:31:36
100233	275.03	10	2018/02/03	19:47:28
100234	-29.61	4	2018/03/11	03:00:38
100235	-268.80	3	2019/02/23	17:13:03
100236	212.65	4	2018/05/25	21:58:40
100237	-123.61	8	2018/06/18	10:08:29
100238	218.36	10	2018/10/27	23:39:33
100239	174.61	2	2019/01/13	20:36:06
100240	158.50	7	2018/06/23	16:34:09
100241	-265.18	3	2018/01/20	00:09:08
100242	-270.87	4	2018/11/13	10:11:06
100243	132.30	1	2018/11/08	11:56:45
100244	364.38	9	2019/02/13	07:50:50
100245	20.60	2	2018/06/03	06:36:42
100246	266.86	4	2018/08/06	03:05:56
100247	232.39	6	2018/02/17	11:52:40
100248	230.45	1	2019/02/21	07:16:22
100249	373.88	5	2018/11/13	05:32:02
100250	225.70	6	2018/08/20	05:31:25
100251	-126.11	7	2018/01/29	08:37:11
100252	262.17	7	2019/01/18	07:56:55
100253	135.74	9	2018/12/17	18:39:26
100254	74.63	3	2018/10/15	05:20:56
100255	-94.97	4	2018/11/24	18:24:02
100256	139.87	4	2019/02/07	08:16:31
100257	254.13	5	2019/03/05	10:06:56
100258	-243.09	6	2018/11/20	07:57:24
100259	-204.54	1	2019/02/24	19:04:42
100260	40.94	6	2018/07/22	18:19:45
100261	162.34	3	2019/01/28	00:28:02
100262	231.65	1	2018/03/30	10:37:18
100263	211.87	2	2018/06/04	11:49:33
100264	360.13	5	2018/02/13	04:12:32
100265	278.26	3	2018/08/13	05:16:53
100266	179.59	6	2018/01/03	18:37:01
100267	288.34	10	2018/05/11	14:58:44
100268	214.85	8	2019/02/24	12:24:43
100269	313.18	6	2019/03/03	00:37:58
100270	-219.60	6	2018/11/24	04:26:04
100271	-253.07	1	2018/11/07	07:18:39
100272	-286.27	6	2019/02/27	09:07:41
100273	149.72	6	2018/01/06	02:01:49
100274	-109.26	1	2018/08/03	01:34:40
100275	-233.93	3	2018/09/23	15:37:50
100276	206.13	8	2018/03/30	14:34:28
100277	-42.85	8	2018/06/17	23:35:50
100278	-286.81	8	2018/10/13	21:49:23
100279	-178.46	1	2018/08/26	14:56:23
100280	-280.56	5	2018/10/18	17:30:09
100281	-284.13	1	2018/07/15	00:53:30
100282	158.02	9	2018/10/25	11:20:25
100283	52.91	9	2018/09/29	10:18:29
100284	-235.30	4	2018/03/30	05:48:59
100285	-70.27	1	2019/02/19	15:03:32
100286	-41.33	8	2018/11/03	10:20:10
100287	8.79	2	2019/02/27	09:12:45
100288	-228.76	8	2018/12/02	20:08:57
100289	-12.11	6	2018/09/08	06:41:50
100290	77.04	2	2019/01/20	09:28:12
100291	-208.86	8	2018/04/19	00:38:39
100292	208.72	3	2018/02/08	11:54:17
100293	68.71	6	2018/05/06	09:37:23
100294	335.20	2	2018/11/16	02:02:28
100295	-241.29	4	2018/02/09	11:03:57
100296	-133.21	10	2018/11/07	08:00:57
100297	-19.49	8	2018/11/12	19:27:17
100298	71.63	4	2018/05/04	02:50:33
100299	148.69	10	2018/04/11	17:52:44
100300	-207.92	2	2018/10/19	09:05:53
100301	31.36	3	2018/10/22	14:01:21
100302	23.54	7	2018/02/20	09:56:46
100303	34.60	7	2018/01/08	01:24:12
100304	115.27	5	2018/05/20	12:09:03
100305	-74.22	10	2018/12/02	17:58:02
100306	-294.33	10	2018/11/15	18:16:44
100307	159.99	4	2019/02/09	19:29:38
100308	345.53	2	2018/08/01	08:04:20
100309	-230.27	2	2018/07/05	22:54:36
100310	232.47	2	2018/11/23	09:45:48
100311	248.39	7	2018/12/24	11:35:14
100312	-19.72	2	2018/01/20	12:15:15
100313	363.20	4	2018/01/19	21:30:21
100314	293.34	3	2018/05/09	10:24:22
100315	366.11	5	2018/10/11	19:58:59
100316	286.33	4	2018/09/26	13:05:39
100317	65.97	1	2018/08/30	17:30:44
100318	-233.13	8	2019/01/16	19:32:26
100319	-75.88	7	2018/03/29	02:33:07
100320	-62.66	8	2018/04/11	14:23:45
100321	-235.04	10	2018/05/14	17:24:40
100322	20.18	8	2018/01/05	02:37:41
100323	-275.43	10	2018/08/09	23:47:18
100324	193.48	2	2018/03/21	16:41:49
100325	161.13	2	2018/03/07	19:29:02
100326	-26.17	2	2018/11/08	23:28:51
100327	-78.34	5	2018/12/20	07:22:17
100328	-223.86	1	2019/01/04	13:10:24
100329	247.53	2	2018/11/19	00:19:26
100330	-68.77	6	2019/01/05	17:55:33
100331	-97.90	8	2019/02/19	03:08:51
100332	-258.13	9	2019/02/06	12:03:37
100333	295.01	5	2018/06/04	22:56:24
100334	178.38	6	2019/01/12	14:37:08
100335	-219.95	3	2018/05/05	16:29:20
100336	-68.50	1	2019/01/18	00:03:58
100337	390.81	5	2018/06/26	16:56:31
100338	201.52	3	2018/10/02	13:57:57
100339	227.20	2	2018/01/04	00:05:23
100340	277.25	9	2019/02/09	13:55:16
100341	60.30	8	2018/06/30	15:02:16
100342	217.65	3	2018/07/10	07:17:44
100343	255.31	4	2018/12/16	04:06:19
100344	-158.21	2	2018/08/07	19:17:45
100345	49.85	2	2018/07/06	17:26:20
100346	22.97	3	2018/09/22	04:41:38
100347	-151.70	9	2018/01/31	21:08:24
100348	357.25	2	2018/06/07	12:12:07
100349	-100.67	9	2018/07/04	18:57:27
100350	-227.88	9	2019/03/04	03:35:46
100351	87.24	10	2018/03/02	18:56:43
100352	-10.87	6	2018/07/23	08:09:35
100353	183.94	2	2018/08/11	15:27:03
100354	-91.66	9	2019/03/01	07:29:52
100355	-276.59	10	2019/02/15	05:45:10
100356	174.64	7	2018/02/17	13:28:14
100357	-6.22	4	2018/01/22	12:18:21
100358	167.07	5	2018/11/29	20:13:10
100359	-220.87	10	2018/11/02	16:35:12
100360	145.71	6	2018/10/20	12:50:34
100361	298.09	4	2018/01/16	15:57:53
100362	132.95	4	2019/02/19	06:08:15
100363	213.50	5	2018/10/28	09:12:26
100364	-59.68	2	2018/01/12	12:13:42
100365	78.46	4	2018/12/28	11:43:41
100366	-174.56	8	2018/07/27	10:59:54
100367	-172.59	7	2018/04/17	01:08:41
100368	-106.85	10	2018/04/23	18:06:24
100369	169.65	7	2018/08/23	13:47:20
100370	219.91	9	2018/04/10	10:37:29
100371	281.62	2	2018/11/27	11:12:38
100372	187.23	5	2018/03/26	15:36:44
100373	152.83	1	2018/09/29	06:21:35
100374	-59.73	3	2018/06/06	15:18:35
100375	-104.52	7	2018/12/27	12:08:42
100376	38.17	3	2018/05/02	01:46:43
100377	244.11	5	2018/10/05	20:12:57
100378	-142.09	5	2018/02/17	12:20:41
100379	-171.40	5	2019/01/28	16:08:29
100380	204.03	3	2018/10/07	02:54:25
100381	1.26	3	2018/10/05	20:47:26
100382	-185.62	3	2018/01/30	23:52:01
100383	-75.30	6	2019/02/23	15:35:18
100384	380.33	9	2018/11/17	09:03:57
100385	98.93	6	2018/01/19	07:25:55
100386	-253.58	7	2018/09/02	05:27:31
100387	379.44	4	2018/08/09	22:56:26
100388	-26.37	3	2018/05/15	16:30:35
100389	326.41	10	2019/01/02	22:56:54
100390	-90.40	6	2018/09/17	14:37:58
100391	-1.14	3	2018/05/25	03:39:39
100392	-95.12	4	2019/03/05	06:24:50
100393	222.69	6	2018/08/18	07:05:46
100394	123.81	1	2018/09/19	21:09:01
100395	-191.72	6	2018/09/16	20:27:23
100396	23.14	6	2018/07/25	03:39:08
100397	377.87	9	2018/11/15	15:26:17
100398	183.49	3	2018/02/09	15:53:51
100399	324.66	1	2018/05/14	00:05:55
100400	231.11	1	2018/10/07	10:11:43
100401	-13.63	2	2018/06/23	15:30:07
100402	-270.00	8	2018/06/27	10:30:06
100403	-264.22	3	2018/08/09	23:13:40
100404	130.28	4	2018/12/16	07:17:00
100405	170.34	1	2018/01/13	12:54:29
100406	101.14	6	2018/01/29	05:04:06
100407	-20.17	1	2018/07/23	05:50:32
100408	-206.45	3	2018/04/28	11:29:44
100409	-18.72	6	2018/10/26	21:11:09
100410	108.69	7	2018/04/15	01:59:01
100411	97.73	1	2018/02/26	07:47:47
100412	148.51	5	2018/05/26	16:01:21
100413	-154.04	5	2019/01/24	22:57:14
100414	-13.84	4	2018/08/10	19:06:23
100415	-156.79	1	2018/05/20	18:08:23
100416	-259.50	1	2018/02/02	22:50:07
100417	70.14	10	2019/02/09	17:23:35
100418	60.39	1	2018/07/15	11:57:42
100419	-107.65	9	2018/06/04	17:04:59
100420	214.67	4	2018/07/15	13:29:07
100421	88.12	2	2019/02/01	12:53:42
100422	-14.09	1	2018/09/18	14:34:49
100423	311.96	8	2018/12/12	14:30:25
100424	237.67	3	2018/12/18	23:02:38
100425	-50.67	7	2018/08/25	16:15:26
100426	-118.47	4	2019/02/04	02:14:29
100427	279.45	9	2018/03/03	20:38:57
100428	-6.61	7	2018/08/16	22:42:10
100429	321.57	10	2018/04/05	11:06:29
100430	-60.85	3	2018/12/21	21:33:37
100431	-271.08	6	2018/02/08	01:04:09
100432	149.06	9	2018/08/08	09:59:23
100433	102.22	8	2018/03/25	01:47:39
100434	-227.03	10	2018/12/10	08:14:40
100435	270.01	8	2018/07/14	07:25:14
100436	8.06	9	2018/12/02	09:30:45
100437	-258.94	5	2018/03/24	10:06:08
100438	131.72	10	2018/11/01	23:40:42
100439	51.34	1	2018/05/05	08:24:23
100440	340.49	6	2018/04/14	02:05:01
100441	-245.82	2	2018/10/31	16:26:55
100442	315.41	9	2018/05/16	15:37:49
100443	-95.44	8	2018/08/17	17:53:08
100444	387.56	6	2018/07/01	14:14:41
100445	-280.00	9	2018/12/24	15:53:42
100446	13.61	6	2018/08/09	07:38:59
100447	-247.95	2	2019/02/16	11:48:57
100448	-129.71	2	2018/12/12	07:22:41
100449	-259.91	9	2018/09/28	16:49:17
100450	96.63	9	2018/08/18	14:29:41
100451	189.90	3	2018/04/06	19:32:06
100452	222.07	5	2018/02/04	16:07:11
100453	-212.26	3	2018/06/17	16:08:23
100454	161.92	7	2018/09/19	00:41:32
100455	-289.82	7	2018/10/11	20:27:26
100456	-299.32	1	2018/06/15	15:02:30
100457	30.64	9	2018/05/16	14:17:40
100458	161.52	9	2018/12/30	13:35:05
100459	196.97	3	2018/11/19	01:42:49
100460	-110.98	6	2018/03/11	13:52:06
100461	-100.42	1	2018/04/05	17:33:12
100462	365.56	2	2018/02/26	03:29:19
100463	173.06	6	2018/12/06	22:28:10
100464	-251.54	8	2018/12/18	03:01:41
100465	398.26	2	2018/07/19	12:10:09
100466	158.25	9	2018/05/02	00:23:37
100467	-234.89	7	2018/10/12	12:52:09
100468	-181.03	9	2018/05/05	19:35:02
100469	363.05	10	2018/10/03	21:27:39
100470	275.22	4	2018/04/25	13:00:29
100471	329.14	5	2019/01/20	22:16:13
100472	-267.39	8	2018/05/25	03:06:12
100473	233.11	6	2018/10/05	04:30:55
100474	123.91	7	2018/07/02	20:59:16
100475	-77.50	5	2018/07/19	11:13:32
100476	265.33	4	2018/06/02	15:54:27
100477	-51.56	1	2018/11/16	03:53:25
100478	-178.33	4	2018/12/19	15:40:35
100479	305.56	9	2018/08/07	16:40:53
100480	-19.44	1	2018/03/14	05:32:05
100481	190.69	2	2018/05/08	16:59:07
100482	111.29	5	2018/03/07	11:36:50
100483	85.77	6	2018/11/06	20:57:15
100484	-248.20	5	2018/01/05	22:36:09
100485	-43.82	3	2018/06/25	19:53:52
100486	79.56	8	2018/01/27	06:22:08
100487	329.62	3	2018/01/22	06:39:00
100488	100.28	2	2019/01/23	13:43:32
100489	-125.27	5	2018/11/21	18:26:12
100490	120.06	6	2019/02/01	04:57:08
100491	-246.77	7	2018/01/30	10:33:24
100492	87.30	1	2019/01/04	21:01:06
100493	330.66	8	2018/05/21	22:42:26
100494	-250.92	1	2018/02/06	02:44:07
100495	-262.13	2	2018/04/20	11:46:07
100496	-109.96	6	2018/03/26	09:59:49
100497	-48.41	9	2018/04/11	14:09:52
100498	-84.56	4	2018/07/28	10:14:16
100499	-277.10	5	2018/06/21	17:22:58
100500	-229.64	10	2018/11/11	07:44:13
100501	191.33	2	2018/03/01	23:04:35
100502	-45.56	6	2018/02/25	23:10:29
100503	256.50	5	2018/10/12	07:28:11
100504	71.77	7	2018/10/11	12:27:58
100505	-0.99	5	2018/11/23	05:56:12
100506	238.95	8	2018/05/14	12:23:49
100507	-295.01	7	2019/03/05	05:29:32
100508	144.97	3	2018/12/06	23:26:53
100509	-207.75	6	2019/02/07	15:23:38
100510	123.79	3	2018/01/07	10:08:28
100511	208.78	5	2018/03/30	03:17:10
100512	163.61	10	2018/07/04	22:42:46
100513	129.49	6	2018/08/21	03:34:09
100514	360.78	10	2018/12/05	16:01:15
100515	397.29	2	2019/01/22	23:51:42
100516	223.57	9	2018/02/08	11:37:52
100517	-249.78	10	2018/10/14	06:06:23
100518	232.54	6	2018/11/03	05:48:44
100519	297.13	1	2018/09/14	05:29:01
100520	45.69	10	2018/05/30	11:33:26
100521	387.36	4	2019/01/24	08:59:27
100522	347.47	9	2018/02/17	12:38:28
100523	212.51	9	2018/11/10	08:59:52
100524	40.22	8	2018/05/20	18:24:24
100525	-223.07	5	2018/06/06	02:40:07
100526	58.04	7	2018/12/07	00:45:16
100527	275.62	3	2018/02/26	19:10:09
100528	-163.27	6	2018/02/15	10:32:32
100529	-236.46	3	2018/12/06	08:34:02
100530	-37.24	4	2018/03/26	17:50:56
100531	-85.00	7	2019/02/11	06:52:57
100532	302.37	10	2018/08/04	16:36:42
100533	-99.56	4	2018/12/11	19:50:02
100534	-72.86	5	2018/06/15	10:48:06
100535	237.38	6	2018/10/11	17:43:58
100536	363.97	2	2018/01/04	15:59:36
100537	18.75	6	2018/09/17	14:15:08
100538	217.06	3	2018/05/14	00:21:23
100539	286.47	1	2018/05/23	00:26:41
100540	192.03	4	2018/01/24	23:22:25
100541	-129.57	2	2018/08/20	11:40:19
100542	330.47	4	2018/09/16	09:11:41
100543	118.45	7	2018/06/01	23:22:10
100544	184.27	2	2018/12/01	09:48:43
100545	-1.78	10	2019/02/24	16:36:39
100546	116.54	5	2018/09/12	16:06:15
100547	48.09	4	2018/07/15	16:49:51
100548	327.29	8	2018/05/20	18:12:55
100549	-203.17	8	2018/12/09	19:11:43
100550	233.67	4	2019/02/03	02:58:45
100551	94.83	4	2019/02/11	14:28:56
100552	299.42	2	2018/06/22	22:17:42
100553	60.45	4	2018/11/20	07:15:53
100554	72.27	7	2018/11/19	08:34:04
100555	-164.57	3	2018/03/28	08:41:02
100556	-212.99	5	2018/06/17	02:18:23
100557	-229.98	7	2018/07/08	15:43:06
100558	85.91	4	2018/05/29	06:33:49
100559	-149.68	5	2018/05/26	05:19:08
100560	-265.04	5	2018/10/24	12:47:00
100561	56.94	10	2018/11/16	00:54:07
100562	250.73	6	2018/04/24	17:05:13
100563	366.33	1	2019/02/24	11:50:10
100564	-26.47	10	2018/08/01	10:54:00
100565	368.02	9	2018/07/31	16:52:24
100566	187.02	7	2018/06/28	17:49:05
100567	119.22	10	2018/08/25	11:00:45
100568	12.70	8	2018/02/07	20:57:17
100569	227.04	6	2019/02/09	20:44:43
100570	344.17	8	2018/08/28	18:53:12
100571	-186.62	3	2019/01/31	03:02:20
100572	390.48	10	2018/12/26	07:41:52
100573	-283.40	9	2019/02/25	09:38:43
100574	367.74	1	2019/02/28	06:47:00
100575	350.57	10	2018/05/22	22:09:27
100576	151.47	2	2018/07/29	21:27:09
100577	315.49	2	2018/04/29	14:01:41
100578	26.76	7	2018/04/17	09:04:15
100579	267.30	7	2019/01/16	15:59:14
100580	281.02	3	2018/04/11	10:03:37
100581	235.91	4	2018/05/06	10:01:20
100582	-205.23	9	2018/12/30	19:02:45
100583	-78.07	4	2018/11/19	00:54:11
100584	-166.31	5	2018/06/13	04:03:30
100585	59.52	6	2018/06/29	01:28:55
100586	360.27	3	2018/09/06	08:26:44
100587	59.92	4	2018/12/12	20:48:40
100588	54.65	5	2018/09/10	16:24:46
100589	215.12	5	2018/12/07	18:26:39
100590	56.45	9	2018/06/19	15:11:41
100591	-291.95	9	2018/06/13	01:36:52
100592	214.28	1	2018/03/27	02:30:30
100593	157.13	2	2018/08/29	21:38:16
100594	214.60	7	2018/06/05	01:54:41
100595	314.13	8	2018/11/10	02:10:35
100596	122.18	10	2018/03/07	01:53:46
100597	-92.09	7	2018/01/16	20:46:11
100598	98.78	5	2018/07/19	09:59:07
100599	224.70	10	2018/03/24	12:20:27
100600	-262.48	9	2018/08/30	19:19:17
100601	233.20	4	2018/10/03	07:37:48
100602	-202.24	5	2018/05/15	17:27:18
100603	-195.58	9	2018/12/08	17:08:39
100604	191.10	2	2018/05/08	21:32:42
100605	76.40	8	2019/01/23	18:42:06
100606	-175.58	4	2018/10/26	04:32:44
100607	-282.42	3	2018/07/05	03:41:30
100608	373.25	8	2018/06/05	09:48:23
100609	-37.03	4	2018/06/01	23:55:13
100610	-176.79	1	2018/10/26	02:22:02
100611	154.95	7	2019/01/17	23:35:09
100612	-96.50	1	2019/01/12	10:12:13
100613	-254.25	7	2018/10/01	22:03:07
100614	281.67	8	2019/01/05	12:39:19
100615	-190.45	2	2018/01/03	00:41:47
100616	29.32	1	2018/11/06	22:06:18
100617	32.91	8	2018/08/09	21:54:33
100618	64.38	10	2018/02/12	16:05:42
100619	-273.11	2	2018/11/20	07:05:01
100620	-186.57	10	2018/05/01	06:32:57
100621	-20.91	3	2018/04/27	01:33:23
100622	332.08	5	2018/07/20	20:46:14
100623	238.04	3	2018/03/30	03:14:13
